Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51
Turmeric Powder/Arisina Pudi,10,12,9,9,12,6,9,12,13,7,12,11,14,9,15,13,6,7,13,12,13,15,14,7,13,5,4,6,5,6,4,19,10,5,5,12,6,9,9,7,7,5,7,6,7,9,12,7,6,5,7,7,4,19,0.4,0.53,0.33,0.33,0.53,0.13,0.33,0.53,0.6,0.2,0.53,0.47,0.67,0.33,0.73,0.6,0.13,0.2,0.6,0.53,0.6,0.73,0.67,0.2,0.6,0.07,0,0.13,0.07,0.13,0,1,0.4,0.07,0.07,0.53,0.13,0.33,0.33,0.2,0.2,0.07,0.2,0.13,0.2,0.33,0.53,0.2,0.13,0.07,0.2,0.2
Bread - Fruit,7,13,9,13,10,12,11,6,11,11,10,15,7,5,9,8,9,4,6,5,12,6,8,7,7,8,7,9,7,8,10,7,8,8,5,4,5,8,9,14,10,14,3,8,9,3,16,7,3,5,10,13,3,16,0.31,0.77,0.46,0.77,0.54,0.69,0.62,0.23,0.62,0.62,0.54,0.92,0.31,0.15,0.46,0.38,0.46,0.08,0.23,0.15,0.69,0.23,0.38,0.31,0.31,0.38,0.31,0.46,0.31,0.38,0.54,0.31,0.38,0.38,0.15,0.08,0.15,0.38,0.46,0.85,0.54,0.85,0,0.38,0.46,0,1,0.31,0,0.15,0.54,0.77
Bombay Street Food Spice Blend,10,4,9,9,15,7,10,14,10,9,12,11,8,16,8,13,10,6,7,9,9,10,7,7,9,6,10,7,15,11,9,6,15,5,6,10,13,9,8,8,5,14,14,10,10,11,5,7,5,4,13,3,3,16,0.54,0.08,0.46,0.46,0.92,0.31,0.54,0.85,0.54,0.46,0.69,0.62,0.38,1,0.38,0.77,0.54,0.23,0.31,0.46,0.46,0.54,0.31,0.31,0.46,0.23,0.54,0.31,0.92,0.62,0.46,0.23,0.92,0.15,0.23,0.54,0.77,0.46,0.38,0.38,0.15,0.85,0.85,0.54,0.54,0.62,0.15,0.31,0.15,0.08,0.77,0
Ragi Flakes,3,2,8,3,5,7,1,5,3,5,3,2,8,4,5,5,5,4,1,3,5,4,2,0,0,4,5,8,1,2,1,7,2,1,7,4,4,2,2,3,9,3,4,5,1,3,7,2,4,4,6,7,0,9,0.33,0.22,0.89,0.33,0.56,0.78,0.11,0.56,0.33,0.56,0.33,0.22,0.89,0.44,0.56,0.56,0.56,0.44,0.11,0.33,0.56,0.44,0.22,0,0,0.44,0.56,0.89,0.11,0.22,0.11,0.78,0.22,0.11,0.78,0.44,0.44,0.22,0.22,0.33,1,0.33,0.44,0.56,0.11,0.33,0.78,0.22,0.44,0.44,0.67,0.78
Mustard Oil - Cold Pressed,11,9,9,6,13,8,11,14,14,11,9,10,13,4,10,13,10,11,11,13,7,10,9,7,14,5,13,5,12,8,13,8,10,7,8,9,14,7,8,8,7,8,6,9,7,11,8,12,7,7,7,5,4,14,0.7,0.5,0.5,0.2,0.9,0.4,0.7,1,1,0.7,0.5,0.6,0.9,0,0.6,0.9,0.6,0.7,0.7,0.9,0.3,0.6,0.5,0.3,1,0.1,0.9,0.1,0.8,0.4,0.9,0.4,0.6,0.3,0.4,0.5,1,0.3,0.4,0.4,0.3,0.4,0.2,0.5,0.3,0.7,0.4,0.8,0.3,0.3,0.3,0.1
Juice/Water Glass - Long Drink Nord,4,3,3,4,6,2,3,5,4,3,4,6,3,4,6,6,3,5,3,4,0,6,7,5,2,8,5,4,2,2,8,2,1,4,6,0,1,6,2,4,2,9,3,3,6,5,2,0,4,5,7,3,0,9,0.44,0.33,0.33,0.44,0.67,0.22,0.33,0.56,0.44,0.33,0.44,0.67,0.33,0.44,0.67,0.67,0.33,0.56,0.33,0.44,0,0.67,0.78,0.56,0.22,0.89,0.56,0.44,0.22,0.22,0.89,0.22,0.11,0.44,0.67,0,0.11,0.67,0.22,0.44,0.22,1,0.33,0.33,0.67,0.56,0.22,0,0.44,0.56,0.78,0.33
Glass Amaze Air Tight Jar - Pink,3,7,8,8,6,8,2,12,1,3,8,3,6,8,6,4,1,7,8,4,5,5,6,8,3,3,5,3,3,0,2,3,2,1,5,4,2,0,5,3,3,4,8,5,1,2,1,4,3,1,4,4,0,12,0.25,0.58,0.67,0.67,0.5,0.67,0.17,1,0.08,0.25,0.67,0.25,0.5,0.67,0.5,0.33,0.08,0.58,0.67,0.33,0.42,0.42,0.5,0.67,0.25,0.25,0.42,0.25,0.25,0,0.17,0.25,0.17,0.08,0.42,0.33,0.17,0,0.42,0.25,0.25,0.33,0.67,0.42,0.08,0.17,0.08,0.33,0.25,0.08,0.33,0.33
"Finger Brush For Kids - Blue, Ultra Soft",11,10,8,8,13,4,10,10,6,12,16,7,13,8,10,5,12,8,9,15,7,6,9,9,8,11,6,3,14,6,7,13,9,6,6,3,10,9,12,14,5,6,11,7,7,15,8,12,3,11,15,11,3,16,0.62,0.54,0.38,0.38,0.77,0.08,0.54,0.54,0.23,0.69,1,0.31,0.77,0.38,0.54,0.15,0.69,0.38,0.46,0.92,0.31,0.23,0.46,0.46,0.38,0.62,0.23,0,0.85,0.23,0.31,0.77,0.46,0.23,0.23,0,0.54,0.46,0.69,0.85,0.15,0.23,0.62,0.31,0.31,0.92,0.38,0.69,0,0.62,0.92,0.62
Water/Juice Glass  - Jupiter Long Glass,22,9,11,10,10,5,9,13,17,14,10,12,11,13,11,10,7,7,14,4,5,6,7,9,8,11,7,8,8,8,4,11,6,7,13,5,7,8,8,8,6,8,9,13,10,13,10,8,7,8,11,10,4,22,1,0.28,0.39,0.33,0.33,0.06,0.28,0.5,0.72,0.56,0.33,0.44,0.39,0.5,0.39,0.33,0.17,0.17,0.56,0,0.06,0.11,0.17,0.28,0.22,0.39,0.17,0.22,0.22,0.22,0,0.39,0.11,0.17,0.5,0.06,0.17,0.22,0.22,0.22,0.11,0.22,0.28,0.5,0.33,0.5,0.33,0.22,0.17,0.22,0.39,0.33
Energy Bar - Choco Crunch,12,14,11,6,8,7,16,4,11,5,8,5,10,4,11,2,9,13,13,15,9,9,11,9,10,9,7,13,12,6,5,7,8,8,9,10,6,7,12,5,4,7,7,7,3,5,5,5,13,10,6,6,2,16,0.71,0.86,0.64,0.29,0.43,0.36,1,0.14,0.64,0.21,0.43,0.21,0.57,0.14,0.64,0,0.5,0.79,0.79,0.93,0.5,0.5,0.64,0.5,0.57,0.5,0.36,0.79,0.71,0.29,0.21,0.36,0.43,0.43,0.5,0.57,0.29,0.36,0.71,0.21,0.14,0.36,0.36,0.36,0.07,0.21,0.21,0.21,0.79,0.57,0.29,0.29
Breeze - Razor Blades,5,7,4,3,4,3,2,4,3,5,2,3,3,4,4,5,10,5,5,4,2,1,4,5,6,3,3,4,4,5,8,4,3,1,3,4,7,5,2,5,3,2,2,5,5,5,1,2,6,2,2,5,1,10,0.44,0.67,0.33,0.22,0.33,0.22,0.11,0.33,0.22,0.44,0.11,0.22,0.22,0.33,0.33,0.44,1,0.44,0.44,0.33,0.11,0,0.33,0.44,0.56,0.22,0.22,0.33,0.33,0.44,0.78,0.33,0.22,0,0.22,0.33,0.67,0.44,0.11,0.44,0.22,0.11,0.11,0.44,0.44,0.44,0,0.11,0.56,0.11,0.11,0.44
"Confeito Vermicelli Combo, Sprinkles",1,4,6,6,3,8,2,3,4,6,3,6,4,3,2,6,1,5,5,0,4,0,5,4,4,4,2,6,5,3,2,2,7,4,1,2,3,5,2,5,6,1,4,4,1,2,3,5,2,3,4,4,0,8,0.13,0.5,0.75,0.75,0.38,1,0.25,0.38,0.5,0.75,0.38,0.75,0.5,0.38,0.25,0.75,0.13,0.63,0.63,0,0.5,0,0.63,0.5,0.5,0.5,0.25,0.75,0.63,0.38,0.25,0.25,0.88,0.5,0.13,0.25,0.38,0.63,0.25,0.63,0.75,0.13,0.5,0.5,0.13,0.25,0.38,0.63,0.25,0.38,0.5,0.5
Olive Oil - Classic,12,8,14,7,8,10,11,14,15,8,9,14,11,8,9,10,10,8,7,6,8,3,7,5,4,15,5,8,5,11,3,8,7,5,8,6,9,8,8,11,10,7,7,8,6,6,8,8,5,12,5,5,3,15,0.75,0.42,0.92,0.33,0.42,0.58,0.67,0.92,1,0.42,0.5,0.92,0.67,0.42,0.5,0.58,0.58,0.42,0.33,0.25,0.42,0,0.33,0.17,0.08,1,0.17,0.42,0.17,0.67,0,0.42,0.33,0.17,0.42,0.25,0.5,0.42,0.42,0.67,0.58,0.33,0.33,0.42,0.25,0.25,0.42,0.42,0.17,0.75,0.17,0.17
"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth",8,3,3,2,3,3,4,5,2,7,7,3,9,3,4,6,3,2,4,2,6,2,5,2,2,3,5,1,3,1,0,6,1,3,1,3,4,1,3,2,2,4,2,2,6,2,4,2,4,7,3,5,0,9,0.89,0.33,0.33,0.22,0.33,0.33,0.44,0.56,0.22,0.78,0.78,0.33,1,0.33,0.44,0.67,0.33,0.22,0.44,0.22,0.67,0.22,0.56,0.22,0.22,0.33,0.56,0.11,0.33,0.11,0,0.67,0.11,0.33,0.11,0.33,0.44,0.11,0.33,0.22,0.22,0.44,0.22,0.22,0.67,0.22,0.44,0.22,0.44,0.78,0.33,0.56
Chia Seeds,2,2,9,5,2,7,4,4,5,7,2,8,3,5,4,7,3,4,4,5,7,1,4,2,4,2,4,1,4,5,4,5,2,3,2,3,7,1,3,4,4,2,4,6,4,9,2,3,4,4,3,7,1,9,0.13,0.13,1,0.5,0.13,0.75,0.38,0.38,0.5,0.75,0.13,0.88,0.25,0.5,0.38,0.75,0.25,0.38,0.38,0.5,0.75,0,0.38,0.13,0.38,0.13,0.38,0,0.38,0.5,0.38,0.5,0.13,0.25,0.13,0.25,0.75,0,0.25,0.38,0.38,0.13,0.38,0.63,0.38,1,0.13,0.25,0.38,0.38,0.25,0.75
Skin Cream,9,8,10,13,14,10,15,9,6,6,7,16,14,5,9,9,8,12,9,12,6,4,15,4,4,8,4,8,7,8,7,15,7,14,6,3,7,8,13,11,12,8,7,7,6,9,9,14,11,11,8,11,3,16,0.46,0.38,0.54,0.77,0.85,0.54,0.92,0.46,0.23,0.23,0.31,1,0.85,0.15,0.46,0.46,0.38,0.69,0.46,0.69,0.23,0.08,0.92,0.08,0.08,0.38,0.08,0.38,0.31,0.38,0.31,0.92,0.31,0.85,0.23,0,0.31,0.38,0.77,0.62,0.69,0.38,0.31,0.31,0.23,0.46,0.46,0.85,0.62,0.62,0.38,0.62
One Touch Air Purifier Freshener - Floral Bouquet Refill,5,6,5,7,1,3,6,6,2,9,4,6,5,2,2,5,7,3,6,3,5,6,2,7,4,2,3,5,4,6,3,6,2,2,3,6,2,6,2,5,4,5,2,5,6,4,3,4,9,4,2,6,1,9,0.5,0.63,0.5,0.75,0,0.25,0.63,0.63,0.13,1,0.38,0.63,0.5,0.13,0.13,0.5,0.75,0.25,0.63,0.25,0.5,0.63,0.13,0.75,0.38,0.13,0.25,0.5,0.38,0.63,0.25,0.63,0.13,0.13,0.25,0.63,0.13,0.63,0.13,0.5,0.38,0.5,0.13,0.5,0.63,0.38,0.25,0.38,1,0.38,0.13,0.63
Water/Juice Glass,13,9,12,9,11,11,9,11,9,9,18,5,8,10,11,12,10,12,8,10,7,13,10,9,6,10,5,7,9,12,8,4,5,7,9,12,9,4,3,9,2,8,5,4,14,8,5,7,6,6,6,13,2,18,0.69,0.44,0.63,0.44,0.56,0.56,0.44,0.56,0.44,0.44,1,0.19,0.38,0.5,0.56,0.63,0.5,0.63,0.38,0.5,0.31,0.69,0.5,0.44,0.25,0.5,0.19,0.31,0.44,0.63,0.38,0.13,0.19,0.31,0.44,0.63,0.44,0.13,0.06,0.44,0,0.38,0.19,0.13,0.75,0.38,0.19,0.31,0.25,0.25,0.25,0.69
Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,6,5,6,6,7,5,5,5,1,3,1,3,3,0,6,1,0,7,3,3,3,2,5,4,3,6,6,5,7,3,4,3,4,1,5,2,6,3,5,11,1,4,3,0,3,4,4,3,2,6,7,3,0,11,0.55,0.45,0.55,0.55,0.64,0.45,0.45,0.45,0.09,0.27,0.09,0.27,0.27,0,0.55,0.09,0,0.64,0.27,0.27,0.27,0.18,0.45,0.36,0.27,0.55,0.55,0.45,0.64,0.27,0.36,0.27,0.36,0.09,0.45,0.18,0.55,0.27,0.45,1,0.09,0.36,0.27,0,0.27,0.36,0.36,0.27,0.18,0.55,0.64,0.27
Nomarks - Antimarks Soap For Oily Skin,9,5,8,9,14,10,8,11,8,7,8,13,7,2,9,12,14,7,7,12,10,9,15,13,8,15,6,3,6,8,14,5,9,9,12,8,9,12,9,8,6,10,6,19,1,10,7,11,7,6,5,9,1,19,0.44,0.22,0.39,0.44,0.72,0.5,0.39,0.56,0.39,0.33,0.39,0.67,0.33,0.06,0.44,0.61,0.72,0.33,0.33,0.61,0.5,0.44,0.78,0.67,0.39,0.78,0.28,0.11,0.28,0.39,0.72,0.22,0.44,0.44,0.61,0.39,0.44,0.61,0.44,0.39,0.28,0.5,0.28,1,0,0.5,0.33,0.56,0.33,0.28,0.22,0.44
"Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds",9,13,9,16,12,9,13,14,6,16,10,8,11,11,6,15,10,14,10,11,9,13,7,8,5,14,8,10,8,11,6,3,12,13,7,9,9,5,10,11,14,10,10,10,6,4,9,12,12,7,6,11,3,16,0.46,0.77,0.46,1,0.69,0.46,0.77,0.85,0.23,1,0.54,0.38,0.62,0.62,0.23,0.92,0.54,0.85,0.54,0.62,0.46,0.77,0.31,0.38,0.15,0.85,0.38,0.54,0.38,0.62,0.23,0,0.69,0.77,0.31,0.46,0.46,0.15,0.54,0.62,0.85,0.54,0.54,0.54,0.23,0.08,0.46,0.69,0.69,0.31,0.23,0.62
Baby Napkins - Mini Terry,7,10,9,11,5,8,15,14,9,7,16,13,10,14,13,7,18,7,13,11,8,6,12,5,11,8,5,10,5,11,13,7,10,11,5,10,8,9,11,10,4,13,5,21,10,6,7,4,8,16,5,11,4,21,0.18,0.35,0.29,0.41,0.06,0.24,0.65,0.59,0.29,0.18,0.71,0.53,0.35,0.59,0.53,0.18,0.82,0.18,0.53,0.41,0.24,0.12,0.47,0.06,0.41,0.24,0.06,0.35,0.06,0.41,0.53,0.18,0.35,0.41,0.06,0.35,0.24,0.29,0.41,0.35,0,0.53,0.06,1,0.35,0.12,0.18,0,0.24,0.71,0.06,0.41
"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",33,45,42,41,32,45,43,45,45,36,48,46,33,42,34,37,41,30,37,34,38,28,31,39,25,25,29,16,29,31,28,25,22,36,25,27,24,39,37,24,27,27,29,28,26,34,33,40,31,34,28,28,16,48,0.53,0.91,0.81,0.78,0.5,0.91,0.84,0.91,0.91,0.63,1,0.94,0.53,0.81,0.56,0.66,0.78,0.44,0.66,0.56,0.69,0.38,0.47,0.72,0.28,0.28,0.41,0,0.41,0.47,0.38,0.28,0.19,0.63,0.28,0.34,0.25,0.72,0.66,0.25,0.34,0.34,0.41,0.38,0.31,0.56,0.53,0.75,0.47,0.56,0.38,0.38
Snacks - Roasted Mixture Lime,34,29,34,59,27,39,34,49,35,45,39,28,43,40,37,33,42,31,43,30,35,44,40,36,40,23,31,26,21,42,40,34,27,26,39,32,40,29,29,28,30,26,27,36,37,26,44,41,29,34,25,18,18,59,0.39,0.27,0.39,1,0.22,0.51,0.39,0.76,0.41,0.66,0.51,0.24,0.61,0.54,0.46,0.37,0.59,0.32,0.61,0.29,0.41,0.63,0.54,0.44,0.54,0.12,0.32,0.2,0.07,0.59,0.54,0.39,0.22,0.2,0.51,0.34,0.54,0.27,0.27,0.24,0.29,0.2,0.22,0.44,0.46,0.2,0.63,0.56,0.27,0.39,0.17,0
Organic Dosa Mix - Jowar,38,31,22,43,29,25,46,32,38,39,32,32,31,37,29,36,37,33,52,18,31,31,32,37,39,23,22,28,42,22,18,25,25,33,29,28,32,17,34,27,28,25,30,17,28,35,34,40,38,33,21,33,17,52,0.6,0.4,0.14,0.74,0.34,0.23,0.83,0.43,0.6,0.63,0.43,0.43,0.4,0.57,0.34,0.54,0.57,0.46,1,0.03,0.4,0.4,0.43,0.57,0.63,0.17,0.14,0.31,0.71,0.14,0.03,0.23,0.23,0.46,0.34,0.31,0.43,0,0.49,0.29,0.31,0.23,0.37,0,0.31,0.51,0.49,0.66,0.6,0.46,0.11,0.46
Lunch Box/Tiffin Set - Green BB 570 2,29,37,32,43,30,27,28,22,37,42,32,36,31,34,28,48,35,39,34,34,37,36,37,31,40,14,22,26,34,30,36,17,31,39,28,28,28,32,52,33,30,40,34,25,25,33,39,49,39,35,21,32,14,52,0.39,0.61,0.47,0.76,0.42,0.34,0.37,0.21,0.61,0.74,0.47,0.58,0.45,0.53,0.37,0.89,0.55,0.66,0.53,0.53,0.61,0.58,0.61,0.45,0.68,0,0.21,0.32,0.53,0.42,0.58,0.08,0.45,0.66,0.37,0.37,0.37,0.47,1,0.5,0.42,0.68,0.53,0.29,0.29,0.5,0.66,0.92,0.66,0.55,0.18,0.47
BCAA Energy Drink - Berry Flavour,6,7,13,6,4,12,11,9,13,13,14,11,9,9,7,11,9,5,6,11,10,9,9,8,8,10,8,14,10,7,8,6,15,5,2,13,11,6,4,4,8,15,5,8,7,5,7,11,5,8,7,9,2,15,0.31,0.38,0.85,0.31,0.15,0.77,0.69,0.54,0.85,0.85,0.92,0.69,0.54,0.54,0.38,0.69,0.54,0.23,0.31,0.69,0.62,0.54,0.54,0.46,0.46,0.62,0.46,0.92,0.62,0.38,0.46,0.31,1,0.23,0,0.85,0.69,0.31,0.15,0.15,0.46,1,0.23,0.46,0.38,0.23,0.38,0.69,0.23,0.46,0.38,0.54
Coffee Energizing Face Scrub,32,48,44,40,31,40,30,45,40,29,45,32,37,36,43,36,34,42,50,36,44,31,50,35,26,27,23,32,37,19,40,34,29,38,42,35,28,29,32,29,26,23,32,33,30,44,47,37,18,36,23,25,18,50,0.44,0.94,0.81,0.69,0.41,0.69,0.38,0.84,0.69,0.34,0.84,0.44,0.59,0.56,0.78,0.56,0.5,0.75,1,0.56,0.81,0.41,1,0.53,0.25,0.28,0.16,0.44,0.59,0.03,0.69,0.5,0.34,0.63,0.75,0.53,0.31,0.34,0.44,0.34,0.25,0.16,0.44,0.47,0.38,0.81,0.91,0.59,0,0.56,0.16,0.22
Pain Relief - Oil,34,25,42,47,37,40,30,44,37,38,41,38,42,40,44,41,54,42,32,48,36,41,38,49,39,34,30,22,23,30,35,27,41,41,31,38,26,35,34,38,39,45,36,50,35,32,31,37,36,34,23,15,15,54,0.49,0.26,0.69,0.82,0.56,0.64,0.38,0.74,0.56,0.59,0.67,0.59,0.69,0.64,0.74,0.67,1,0.69,0.44,0.85,0.54,0.67,0.59,0.87,0.62,0.49,0.38,0.18,0.21,0.38,0.51,0.31,0.67,0.67,0.41,0.59,0.28,0.51,0.49,0.59,0.62,0.77,0.54,0.9,0.51,0.44,0.41,0.56,0.54,0.49,0.21,0
Ultra Soft New Born Diapers - Extra Small,37,42,30,43,48,44,47,27,43,41,34,53,33,35,40,52,47,43,40,51,39,37,35,34,36,19,29,28,25,35,23,20,24,30,37,27,41,38,34,38,33,41,48,34,32,44,29,44,32,28,38,24,19,53,0.53,0.68,0.32,0.71,0.85,0.74,0.82,0.24,0.71,0.65,0.44,1,0.41,0.47,0.62,0.97,0.82,0.71,0.62,0.94,0.59,0.53,0.47,0.44,0.5,0,0.29,0.26,0.18,0.47,0.12,0.03,0.15,0.32,0.53,0.24,0.65,0.56,0.44,0.56,0.41,0.65,0.85,0.44,0.38,0.74,0.29,0.74,0.38,0.26,0.56,0.15
Jungle Stimulating Facial Cleanser,30,40,48,28,30,34,40,53,43,37,29,38,38,36,36,46,37,49,35,35,48,34,51,31,30,26,26,34,38,36,35,34,36,37,38,32,42,32,20,32,22,28,31,36,42,42,32,31,39,24,24,19,19,53,0.32,0.62,0.85,0.26,0.32,0.44,0.62,1,0.71,0.53,0.29,0.56,0.56,0.5,0.5,0.79,0.53,0.88,0.47,0.47,0.85,0.44,0.94,0.35,0.32,0.21,0.21,0.44,0.56,0.5,0.47,0.44,0.5,0.53,0.56,0.38,0.68,0.38,0.03,0.38,0.09,0.26,0.35,0.5,0.68,0.68,0.38,0.35,0.59,0.15,0.15,0
Ylang Ylang Essential Oil,38,44,41,26,28,36,29,38,45,32,45,53,44,31,35,37,35,49,30,40,47,32,49,33,46,26,26,27,28,30,39,27,34,27,26,28,29,32,28,26,23,29,21,31,31,26,24,33,32,30,23,13,13,53,0.63,0.78,0.7,0.33,0.38,0.58,0.4,0.63,0.8,0.48,0.8,1,0.78,0.45,0.55,0.6,0.55,0.9,0.43,0.68,0.85,0.48,0.9,0.5,0.83,0.33,0.33,0.35,0.38,0.43,0.65,0.35,0.53,0.35,0.33,0.38,0.4,0.48,0.38,0.33,0.25,0.4,0.2,0.45,0.45,0.33,0.28,0.5,0.48,0.43,0.25,0
Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),25,38,37,48,34,40,30,29,39,40,36,35,30,44,43,46,29,35,39,56,48,39,20,36,20,33,34,28,36,20,21,36,41,32,23,23,24,43,30,28,26,17,33,28,29,34,32,41,24,33,27,28,17,56,0.21,0.54,0.51,0.79,0.44,0.59,0.33,0.31,0.56,0.59,0.49,0.46,0.33,0.69,0.67,0.74,0.31,0.46,0.56,1,0.79,0.56,0.08,0.49,0.08,0.41,0.44,0.28,0.49,0.08,0.1,0.49,0.62,0.38,0.15,0.15,0.18,0.67,0.33,0.28,0.23,0,0.41,0.28,0.31,0.44,0.38,0.62,0.18,0.41,0.26,0.28
Soap,35,34,40,36,45,37,43,47,34,39,33,41,47,40,47,53,44,39,42,41,44,51,47,44,38,32,29,41,27,21,36,27,30,19,46,31,33,29,36,34,25,27,52,36,43,31,37,38,42,28,28,26,19,53,0.47,0.44,0.62,0.5,0.76,0.53,0.71,0.82,0.44,0.59,0.41,0.65,0.82,0.62,0.82,1,0.74,0.59,0.68,0.65,0.74,0.94,0.82,0.74,0.56,0.38,0.29,0.65,0.24,0.06,0.5,0.24,0.32,0,0.79,0.35,0.41,0.29,0.5,0.44,0.18,0.24,0.97,0.5,0.71,0.35,0.53,0.56,0.68,0.26,0.26,0.21
Yellow Balm,44,43,35,36,39,42,31,44,37,38,33,35,37,34,51,50,43,38,43,36,43,36,42,34,29,25,29,36,28,19,39,44,32,42,38,43,32,37,40,38,35,28,38,34,37,34,55,26,33,26,38,25,19,55,0.69,0.67,0.44,0.47,0.56,0.64,0.33,0.69,0.5,0.53,0.39,0.44,0.5,0.42,0.89,0.86,0.67,0.53,0.67,0.47,0.67,0.47,0.64,0.42,0.28,0.17,0.28,0.47,0.25,0,0.56,0.69,0.36,0.64,0.53,0.67,0.36,0.5,0.58,0.53,0.44,0.25,0.53,0.42,0.5,0.42,1,0.19,0.39,0.19,0.53,0.17
"LED Bulb - 12 Watt, Cool Daylight, B22 Base",40,38,34,43,43,34,41,31,55,34,51,37,40,44,38,53,55,32,35,35,36,31,32,45,36,12,38,25,30,33,24,39,49,25,34,33,31,27,30,37,36,33,26,28,39,38,34,30,38,41,34,16,12,55,0.65,0.6,0.51,0.72,0.72,0.51,0.67,0.44,1,0.51,0.91,0.58,0.65,0.74,0.6,0.95,1,0.47,0.53,0.53,0.56,0.44,0.47,0.77,0.56,0,0.6,0.3,0.42,0.49,0.28,0.63,0.86,0.3,0.51,0.49,0.44,0.35,0.42,0.58,0.56,0.49,0.33,0.37,0.63,0.6,0.51,0.42,0.6,0.67,0.51,0.09
Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,32,44,31,38,37,36,30,42,49,46,26,31,39,47,43,50,35,37,32,31,29,45,33,35,29,16,34,28,30,30,17,32,37,31,24,34,33,38,35,28,34,28,32,24,28,22,24,26,33,25,40,15,15,50,0.49,0.83,0.46,0.66,0.63,0.6,0.43,0.77,0.97,0.89,0.31,0.46,0.69,0.91,0.8,1,0.57,0.63,0.49,0.46,0.4,0.86,0.51,0.57,0.4,0.03,0.54,0.37,0.43,0.43,0.06,0.49,0.63,0.46,0.26,0.54,0.51,0.66,0.57,0.37,0.54,0.37,0.49,0.26,0.37,0.2,0.26,0.31,0.51,0.29,0.71,0
Jaggery/Bella Powder - Pesticide Free,42,28,34,28,26,35,29,36,44,37,47,29,43,37,36,31,39,26,28,40,34,25,40,33,29,23,17,26,23,15,24,23,26,28,26,27,28,38,41,25,37,41,37,36,29,40,29,41,31,23,27,20,15,47,0.84,0.41,0.59,0.41,0.34,0.63,0.44,0.66,0.91,0.69,1,0.44,0.88,0.69,0.66,0.5,0.75,0.34,0.41,0.78,0.59,0.31,0.78,0.56,0.44,0.25,0.06,0.34,0.25,0,0.28,0.25,0.34,0.41,0.34,0.38,0.41,0.72,0.81,0.31,0.69,0.81,0.69,0.66,0.44,0.78,0.44,0.81,0.5,0.25,0.38,0.16
Ready Masala - Kashmiri Meat,25,37,42,50,18,32,38,37,33,30,37,20,41,40,39,38,34,32,41,30,40,36,31,33,28,22,22,30,23,31,28,30,34,29,30,32,26,30,31,24,29,27,24,28,30,28,29,34,31,29,25,19,18,50,0.22,0.59,0.75,1,0,0.44,0.63,0.59,0.47,0.38,0.59,0.06,0.72,0.69,0.66,0.63,0.5,0.44,0.72,0.38,0.69,0.56,0.41,0.47,0.31,0.13,0.13,0.38,0.16,0.41,0.31,0.38,0.5,0.34,0.38,0.44,0.25,0.38,0.41,0.19,0.34,0.28,0.19,0.31,0.38,0.31,0.34,0.5,0.41,0.34,0.22,0.03
"Water Saving Aerator, Switch",30,37,38,30,32,32,52,33,47,44,38,45,38,47,44,52,40,42,35,39,36,34,33,42,45,24,24,30,27,31,29,29,35,37,29,21,40,28,32,32,23,22,33,38,35,33,28,23,39,15,31,30,15,52,0.41,0.59,0.62,0.41,0.46,0.46,1,0.49,0.86,0.78,0.62,0.81,0.62,0.86,0.78,1,0.68,0.73,0.54,0.65,0.57,0.51,0.49,0.73,0.81,0.24,0.24,0.41,0.32,0.43,0.38,0.38,0.54,0.59,0.38,0.16,0.68,0.35,0.46,0.46,0.22,0.19,0.49,0.62,0.54,0.49,0.35,0.22,0.65,0,0.43,0.41
